"result #	""search engine""	query	""article title""	""article url""	""article description""	""total nr of results (best guess)""",,,,,,,,
"0	bing	""Greta Thunberg""	""Greta Thunberg - Wikipedia""	https://nl.wikipedia.org/wiki/Greta_Thunberg	""Greta Thunberg (Stockholm"," 3 januari 2003) is een Zweedse klimaatactiviste. Ze raakte bekend toen ze besloot om na de zomervakantie tot de Zweedse ...""	8700000",,,,,,,
"1	bing	""Greta Thunberg""	""Greta Thunberg - Wikipedia""	https://en.wikipedia.org/wiki/Greta_Thunberg		8700000",,,,,,,,
"2	bing	""Greta Thunberg""	""Greta Thunberg – Wikipedia""	https://de.wikipedia.org/wiki/Greta_Thunberg	""Leben. Greta Thunberg ist die ältere von zwei Töchtern der Opernsängerin Malena Ernman und des Schauspielers Svante Thunberg. Zu ihren Großeltern zählen die ...""	8700000",,,,,,,,
"3	bing	""Greta Thunberg""	""Greta Thunberg (@GretaThunberg) | Twitter""	https://twitter.com/GretaThunberg	""The latest Tweets from Greta Thunberg (@GretaThunberg). 16 year old climate and environmental activist with Asperger’s Join the global climate strikes on September ...""	8700000",,,,,,,,
"4	bing	""Greta Thunberg""	""Greta Thunberg - Home | Facebook""	https://www.facebook.com/gretathunbergsweden/	""Greta Thunberg. 2",400,932 likes · 1,524,"657 talking about this. 16 year old climate and environmental activist with Asperger’s #fridaysforfuture""	8700000",,,,
"5	bing	""Greta Thunberg""	""Greta Thunberg — Wikipédia""	https://fr.wikipedia.org/wiki/Greta_Thunberg	""Greta Thunberg /² ɡ r e ː t a ² t ʉ ː n b æ r j / [a] Écouter", née le 3 janvier 2003 à Stockholm," est une militante suédoise pour la lutte contre le ...""	8700000",,,,,,
"6	bing	""Greta Thunberg""	""Greta Thunberg full speech at UN Climate Change …""	https://www.youtube.com/watch?v=VFkQSGyeCWg	""15-12-2018 · 15 year old activist Greta Thunberg speaks truth to power at the UN COP24 climate talks: """"My name is Greta Thunberg. I am 15 years old. I am from Sweden. I ...""	8700000",,,,,,,,
"7	bing	""Greta Thunberg""	""Greta Thunberg - BBC News""	https://www.bbc.com/news/topics/cwmrxq94v1jt/greta-thunberg	""5-10-2019 · All the latest news about Greta Thunberg from the BBC""	8700000",,,,,,,,
"8	bing	""Greta Thunberg""	""Greta Thunberg — Wikipédia""	https://fr.wikipedia.org/wiki/Greta_Thunberg	""Greta Thunberg /² ɡ r e ː t a ² t ʉ ː n b æ r j / [a] Écouter", née le 3 janvier 2003 à Stockholm," est une militante suédoise pour la lutte contre le ...""	8700000",,,,,,
"9	bing	""Greta Thunberg""	""Greta Thunberg full speech at UN Climate Change …""	https://www.youtube.com/watch?v=VFkQSGyeCWg	""15-12-2018 · 15 year old activist Greta Thunberg speaks truth to power at the UN COP24 climate talks: """"My name is Greta Thunberg. I am 15 years old. I am from Sweden. I ...""	8700000",,,,,,,,
"10	bing	""Greta Thunberg""	""Greta Thunberg - Wikipedia""	https://it.wikipedia.org/wiki/Greta_Thunberg	""Biografia. Greta Thunberg è figlia della cantante d""""opera Malena Ernman e dell""""attore Svante Thunberg. Quando aveva 13 anni le fu diagnosticata la sindrome di ...""	8700000",,,,,,,,
"11	bing	""Greta Thunberg""	""Greta Thunberg - IMDb""	https://www.imdb.com/name/nm10361418/	""Greta Thunberg", Self: Climate Change: The Facts. Greta Thunberg was born on January 3," 2003 in Sweden as Greta Tintin Eleonora Ernman Thunberg. She is known for her ...""	8700000",,,,,,
"12	bing	""Greta Thunberg""	""Greta Thunberg | Speaker | TED""	https://www.ted.com/speakers/greta_thunberg	""Why you should listen. In August 2018"," Greta Thunberg started a school strike for the climate outside the Swedish Parliament that has since spread all over the world ...""	8700000",,,,,,,
"13	bing	""Greta Thunberg""	""Greta Thunberg - Wikipedia"," la enciclopedia libre""	https://es.wikipedia.org/wiki/Greta_Thunberg	""Greta Thunberg (Estocolmo", 3 de enero de 2003) es una activista medioambiental sueca," centrada en los riesgos planteados por el cambio climático.""	8700000",,,,,
"14	bing	""Greta Thunberg""	""Wie is het klimaatmeisje Greta Thunberg? | Buitenland | AD.nl""	https://www.ad.nl/buitenland/wie-is-het-klimaatmeisje-greta-thunberg~a85eb898/	""5-2-2019 · Ook in Nederland volgen scholieren donderdag het voorbeeld van de Zweedse Greta Thunberg (16)"," die al sinds de zomervakantie staakt voor het klimaat. Maar ...""	8700000",,,,,,,
"15	bing	""Greta Thunberg""	""Greta Thunberg""""s emotional speech to EU leaders  …""	https://www.youtube.com/watch?v=FWsM9-_zrKo	""16-4-2019 · A sometimes tearful Greta Thunberg criticised EU leaders in Strasbourg for not taking the threat posed by climate change seriously enough. The 16-year-old ...""	8700000",,,,,,,,
"16	bing	""Greta Thunberg""	""Greta Thunberg: 16-year-old climate activist …""	https://www.bbc.co.uk/newsround/47467038	""24-4-2019 · 16-year-old climate activist Greta Thunberg inspired international youth movement. She explains why she decided to speak out on climate change.""	8700000",,,,,,,,
"17	bing	""Greta Thunberg""	""Greta Thunberg - Professionele mediahype van grote spelers ...""	http://www.novini.nl/greta-thunberg-professionele-mediahype-van-grote-spelers/	""Greta Thunberg en haar schoolstakingen voor het klimaat worden als spontaan initiatief voorgesteld. In werkelijkheid is het een pr-campagne waar zakelijke belangen ...""	8700000",,,,,,,,
"18	bing	""Greta Thunberg""	""Klimaatidool Greta Thunberg (16) arriveert per CO2 ...""	https://www.volkskrant.nl/nieuws-achtergrond/klimaatidool-greta-thunberg-16-arriveert-per-co2-neutraal-zeiljacht-in-new-york-voor-vn-top~bb7fe1e1/	""28-8-2019 · ‘Land in zicht!’", schreef het 16-jarige klimaaticoon Greta Thunberg woensdag op Twitter aan haar 1,"1 miljoen volgers. Na een Atlantische oversteek ...""	8700000",,,,,,
"19	bing	""Greta Thunberg""	""Greta Thunbergová – Wikipedie""	https://cs.wikipedia.org/wiki/Greta_Thunberg	""Život. Greta Thunbergová se narodila 3. ledna 2003 ve Stockholmu. Její matka je švédská operní pěvkyně Malena Ernman"," jejím otcem je herec Svante Thunberg.""	8700000",,,,,,,
"20	bing	""Greta Thunberg""	""Greta Thunberg – Wikipedia""	https://sv.wikipedia.org/wiki/Greta_Thunberg	""Greta Tintin Eleonora Ernman Thunberg", född 3 januari 2003 i Stockholm," är en svensk opinionsbildare och aktivist i klimatfrågan. Hon uppmärksammades i augusti ...""	8700000",,,,,,
"21	bing	""Greta Thunberg""	""Greta Thunberg – Wikipedia"," wolna encyklopedia""	https://pl.wikipedia.org/wiki/Greta_Thunberg	""Greta Thunberg (ur. 3 stycznia 2003 w Sztokholmie) – szwedzka aktywistka klimatyczna. W 2018 roku rozpoczęła protest pod budynkiem szwedzkiego parlamentu"," który ...""	8700000",,,,,,
"22	bing	""Greta Thunberg""	""Het jaar van klimaatactiviste Greta Thunberg in ...""	https://www.nu.nl/klimaat/5980472/het-jaar-van-klimaatactiviste-greta-thunberg-in-vogelvlucht.html	""Dinsdag was het een jaar geleden dat de Zweedse klimaatactiviste Greta Thunberg startte met haar schoolstaking om aandacht te vragen voor het klimaat. Gewapend met ...""	8700000",,,,,,,,
"23	bing	""Greta Thunberg""	""Greta Thunberg: The disarming case to act right …""	https://www.ted.com/talks/greta_thunberg_the_disarming_case_to_act_right_now_on_climate	""In this passionate call to action", 16-year-old climate activist Greta Thunberg explains why, in August 2018," she walked out of school and organized a strike to raise ...""	8700000",,,,,
"24	bing	""Greta Thunberg""	""Greta Thunberg Age", Family, Story," Biography & …""	https://starsinformer.com/greta-thunberg/	""Interestingly", Greta’s father, Svante Thunberg, is the descendant of Svante Arrhenius, the Nobel Prize-winning scientist," who first calculated the greenhouse effect ...""	8700000"
