result #,search engine,query,article title,article url,article description,total nr of results (best guess),,
0,bing,Greta Thunberg,Greta Thunberg - Wikipedia,https://nl.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg (Stockholm,,,
1,bing,Greta Thunberg,Greta Thunberg - Wikipedia,https://en.wikipedia.org/wiki/Greta_Thunberg,,8670000,,
2,bing,Greta Thunberg,Greta Thunberg – Wikipedia,https://de.wikipedia.org/wiki/Greta_Thunberg,Leben. Greta Thunberg ist die ältere von zwei Töchtern der Opernsängerin Malena Ernman und des Schauspielers Svante Thunberg. Zu ihren Großeltern zählen die ...,8670000,,
3,bing,Greta Thunberg,Greta Thunberg (@GretaThunberg) | Twitter,https://twitter.com/GretaThunberg,The latest Tweets from Greta Thunberg (@GretaThunberg). 16 year old climate and environmental activist with Asperger’s Join the global climate strikes on September ...,8670000,,
4,bing,Greta Thunberg,Greta Thunberg - Home | Facebook,https://www.facebook.com/gretathunbergsweden/,Greta Thunberg. 2,,,
5,bing,Greta Thunberg,Greta Thunberg — Wikipédia,https://fr.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg /² ɡ r e ː t a ² t ʉ ː n b æ r j / [a] Écouter,,,
6,bing,Greta Thunberg,Greta Thunberg - BBC News,https://www.bbc.com/news/topics/cwmrxq94v1jt/greta-thunberg,5-10-2019 · All the latest news about Greta Thunberg from the BBC,8670000,,
7,bing,Greta Thunberg,Hoe de Zweedse Greta Thunberg (16) uit kon groeien tot ...,https://www.nrc.nl/nieuws/2019/02/01/het-gaat-om-overleven-a3652662,1-2-2019 · Greta Thunberg: De 16-jarige Zweedse Greta Thunberg noemt zichzelf „een klimaatactivist met Asperger”. Ze kon als kind al niet begrijpen dat niet ...,8670000,,
8,bing,Greta Thunberg,Greta Thunberg — Wikipédia,https://fr.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg /² ɡ r e ː t a ² t ʉ ː n b æ r j / [a] Écouter,,,
9,bing,Greta Thunberg,Greta Thunberg - Wikipedia,https://it.wikipedia.org/wiki/Greta_Thunberg,"Biografia. Greta Thunberg è figlia della cantante d""opera Malena Ernman e dell""attore Svante Thunberg. Quando aveva 13 anni le fu diagnosticata la sindrome di ...",8670000,,
10,bing,Greta Thunberg,Greta Thunberg - IMDb,https://www.imdb.com/name/nm10361418/,Greta Thunberg,,,
11,bing,Greta Thunberg,Greta Thunberg | Speaker | TED,https://www.ted.com/speakers/greta_thunberg,Why you should listen. In August 2018,,,
12,bing,Greta Thunberg,Greta Thunberg - Wikipedia,,,,,
13,bing,Greta Thunberg,Greta Thunberg full speech at UN Climate Change …,https://www.youtube.com/watch?v=VFkQSGyeCWg,"15-12-2018 · 15 year old activist Greta Thunberg speaks truth to power at the UN COP24 climate talks: ""My name is Greta Thunberg. I am 15 years old. I am from Sweden. I ...",8670000,,
14,bing,Greta Thunberg,Wie is het klimaatmeisje Greta Thunberg? | Buitenland | AD.nl,https://www.ad.nl/buitenland/wie-is-het-klimaatmeisje-greta-thunberg~a85eb898/,5-2-2019 · Ook in Nederland volgen scholieren donderdag het voorbeeld van de Zweedse Greta Thunberg (16),,,
15,bing,Greta Thunberg,"Greta Thunberg""s emotional speech to EU leaders  …",https://www.youtube.com/watch?v=FWsM9-_zrKo,16-4-2019 · A sometimes tearful Greta Thunberg criticised EU leaders in Strasbourg for not taking the threat posed by climate change seriously enough. The 16-year-old ...,8670000,,
