result #,search engine,query,article title,article url,article description,total nr of results (best guess),,
0,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://nl.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg (Stockholm,,,
1,duckduckgo,Greta Thunberg,Greta Thunberg (@gretathunberg) • Instagram photos and videos,https://www.instagram.com/gretathunberg/,7.4m Followers,,,
2,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://en.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg FRSGS Thunberg in April 2019 Born Greta Tintin Eleonora Ernman Thunberg (2003-01-03) 3 January 2003 (age 16) Stockholm,,,
3,duckduckgo,Greta Thunberg,Greta Thunberg - Home | Facebook,https://www.facebook.com/gretathunbergsweden/,Greta Thunberg. 2,,,
4,duckduckgo,Greta Thunberg,Greta Thunberg (@GretaThunberg) | Twitter,https://twitter.com/GretaThunberg,The latest Tweets from Greta Thunberg (@GretaThunberg). 16 year old climate and environmental activist with Asperger&#x27;s Join the global climate strikes on September ...,100,,
5,duckduckgo,Greta Thunberg,Wie is het klimaatmeisje Greta Thunberg? | Buitenland | AD.nl,https://www.ad.nl/buitenland/wie-is-het-klimaatmeisje-greta-thunberg~a85eb898/,Ook in Nederland volgen scholieren donderdag het voorbeeld van de Zweedse Greta Thunberg (16),,,
6,duckduckgo,Greta Thunberg,Hoe de Zweedse Greta Thunberg (16) uit kon groeien tot icoon ...,https://www.nrc.nl/nieuws/2019/02/01/het-gaat-om-overleven-a3652662,Greta Thunberg: De 16-jarige Zweedse Greta Thunberg noemt zichzelf „een klimaatactivist met Asperger&quot;. Ze kon als kind al niet begrijpen dat niet ...,100,,
7,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,,,,,
8,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://de.wikipedia.org/wiki/Greta_Thunberg,Leben. Greta Thunberg ist die ältere von zwei Töchtern der Opernsängerin Malena Ernman und des Schauspielers Svante Thunberg. Zu ihren Großeltern zählen die ...,100,,
9,duckduckgo,Greta Thunberg,Greta Thunberg — Wikipédia,https://fr.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg /² ɡ r e ː t a ² t ʉ ː n b æ r j / [a] Écouter,,,
